Ejercicio Original,Alternativa 1,Alternativa 2,Alternativa 3,Grupo Muscular
Press banca con barra,Press banca con mancuernas,Press inclinado con barra,Fondos en paralelas,Pecho
Press banca inclinado,Press banca declinado,Aperturas con mancuernas,Cruce en polea,Pecho
Press banca declinado,Press banca inclinado,Aperturas inclinadas,Fondos,Pecho
Aperturas con mancuernas,Cruce en polea,Press banca con mancuernas,Press en máquina,Pecho
Cruce en polea,Aperturas con mancuernas,Press banca con mancuernas,Contractor de pecho,Pecho
Press militar con barra,Press militar con mancuernas,Press Arnold,Elevaciones laterales,Hombro
Press militar con mancuernas,Press militar con barra,Press Arnold,Face pulls,Hombro
Elevaciones laterales,Vuelos posteriores,Press militar con mancuernas,Elevación frontal,Hombro
Elevaciones frontales,Elevaciones laterales,Press militar,Face pulls,Hombro
Vuelos posteriores,Face pulls,Pájaro inclinado,Remo al mentón,Hombro
Face pulls,Vuelos posteriores,Elevaciones laterales,Pájaro inclinado,Hombro
Remo con barra,Remo con mancuerna,Jalón al pecho,Remo en máquina,Espalda
Remo con mancuerna,Remo con barra,Jalón al pecho,Remo en máquina,Espalda
Jalón al pecho,Remo con barra,Dominadas asistidas,Pull-over,Espalda
Dominadas,Dominadas asistidas,Jalón al pecho,Remo con barra,Espalda
Peso muerto convencional,Peso muerto rumano,Peso muerto sumo,Hiperextensiones,Cadera/Espalda baja
Peso muerto rumano,Peso muerto convencional,Hiperextensiones,Curl femoral,Cadera/Espalda baja
Hiperextensiones,Peso muerto rumano,Good mornings,Puente de glúteos,Cadera/Espalda baja
Sentadilla con barra,Prensa de piernas,Sentadilla búlgara,Hack squat,Pierna (cuádriceps)
Sentadilla búlgara,Sentadilla con barra,Prensa de piernas,Zancadas,Pierna (cuádriceps)
Prensa de piernas,Sentadilla con barra,Sentadilla búlgara,Hack squat,Pierna (cuádriceps)
Hack squat,Prensa de piernas,Sentadilla con barra,Extensiones de pierna,Pierna (cuádriceps)
Extensiones de pierna,Sentadilla búlgara,Prensa de piernas,Zancadas,Pierna (cuádriceps)
Curl femoral acostado,Peso muerto rumano,Curl femoral sentado,Buenos días,Pierna (isquiotibiales)
Curl femoral sentado,Curl femoral acostado,Peso muerto rumano,Buenos días,Pierna (isquiotibiales)
Zancadas,Sentadilla búlgara,Prensa de piernas,Sentadilla con barra,Pierna (global)
Elevación de talones (gemelos),Gemelos en prensa,Gemelos de pie,Gemelos sentado,Pantorrilla
Press francés con barra,Extensiones en polea,Fondos en paralelas,Press francés mancuerna,Tríceps
Extensiones en polea,Press francés con barra,Fondos,Press francés mancuerna,Tríceps
Fondos en paralelas,Press francés con barra,Extensiones en polea,Press banca agarre cerrado,Tríceps
Press banca agarre cerrado,Fondos,Extensiones en polea,Press francés,Tríceps
Curl con barra,Curl con mancuerna,Curl en banco Scott,Curl en polea,Bíceps
Curl con mancuerna,Curl con barra,Curl martillo,Curl en polea,Bíceps
Curl martillo,Curl con mancuerna,Curl con barra,Curl invertido,Bíceps/antebrazo
Curl en banco Scott,Curl con barra,Curl con mancuerna,Curl concentrado,Bíceps
Plancha,Ab wheel,Rueda abdominal,Elevación de piernas,Core
Elevación de piernas,Plancha,Ab wheel,Crunches,Core
Ab wheel,Elevación de piernas,Plancha,Crunches,Core
Crunches,Elevación de piernas,Plancha,Ab wheel,Core
